ID	Language_ID	Reference_ID	DomainOfKnowledge	BasicInformationType	Status
stan1295-1	stan1295	Abraham-1986-the_grammar_of_german	Grammar	Reference Grammar	computed
stan1295-2	stan1295	Abraham-1991-discourse_particles_descriptive_and	Grammar	Reference Grammar	computed
stan1295-3	stan1295	Abraham-1991-discourse_particles_in_german	Grammar	Grammar Sketch	computed
stan1295-4	stan1295	Abraham-1992-structural_properties_of_information	Grammar	Reference Grammar	computed
stan1295-5	stan1295	Abraham-1992-the_base_structure_of	Grammar	Grammar Sketch	computed
stan1295-6	stan1295	Abraham-1995-structural_properties_of_information	Grammar	Reference Grammar	computed
stan1295-7	stan1295	Abraham-1998-dodd_b_eckhardblack_chr	Grammar	Reference Grammar	computed
stan1295-8	stan1295	Abraham-2000-modal_particles_in_german	Genealogy	Affiliation	computed
stan1295-9	stan1295	Abraham-2001-syntax_and_semantics_of	Grammar	Reference Grammar	computed
stan1295-10	stan1295	Abraham-2002-german_clause_structure_under	Grammar	Grammar Sketch	computed
stan1295-11	stan1295	Abraham-2007-discourse_binding_dp_and	Grammar	Grammar Sketch	computed
stan1295-12	stan1295	Adler-1846-ollendorffs_new_method_of	Grammar	Grammar Sketch	computed
stan1295-13	stan1295	Albertus-1573-teutsch_grammatick_oder_sprachkunst	Grammar	Grammar Sketch	annotated
stan1295-14	stan1295	Anagnostopoulou-2008-notes_on_the_person	Grammar	Grammar Sketch	computed
stan1295-15	stan1295	Atterer-2004-on_the_phonetics_and	Phonology		computed
stan1295-16	stan1295	Auer-1996-the_prefront_field_in	Genealogy	Affiliation	computed
stan1295-17	stan1295	Averintseva-Klisch-2007-the_role_of_discourse	Grammar	Grammar Sketch	computed
stan1295-18	stan1295	Averintseva-Klisch-2008-11_german_right_dislocation	Grammar	Grammar Sketch	computed
stan1295-19	stan1295	Axel-2005-studies_on_old_high	Grammar	Reference Grammar	computed
stan1295-20	stan1295	Axel-2007-studies_on_old_high	Grammar	Reference Grammar	computed
stan1295-21	stan1295	Axel-Tober-2011-correlation_and_clause_integration	Grammar	Grammar Sketch	computed
stan1295-22	stan1295	Bach-1962-the_order_of_elements	Grammar	Reference Grammar	computed
stan1295-23	stan1295	Bacon-1906-bacons_new_german_course	Grammar	Reference Grammar	computed
stan1295-24	stan1295	Bader-2016-complex_center_embedding_in	Genealogy	Affiliation	computed
stan1295-25	stan1295	Bader-2023-2_how_free_is	Genealogy	Affiliation	computed
stan1295-26	stan1295	Barrios-2017-obrien__fagan_2016	Phonology		computed
stan1295-27	stan1295	Bartsch-1995-situations_tense_and_aspect	Grammar	Grammar Sketch	computed
stan1295-28	stan1295	Baumgarten-2008-writer_construction_in_english	Grammar	Grammar Sketch	computed
stan1295-29	stan1295	Bayer-1990-what_bavarian_negative_concord	Grammar	Grammar Sketch	computed
stan1295-30	stan1295	Bayer-1991-german_particles_in_a	Grammar	Reference Grammar	computed
stan1295-31	stan1295	Bayer-1991-german_particles_in_modular	Grammar	Reference Grammar	computed
stan1295-32	stan1295	Bayer-2016-a_new_diagnostic_for	Grammar	Grammar Sketch	computed
stan1295-33	stan1295	Bayer-2016-emphatic_topicalization_and_the	Grammar	Grammar Sketch	computed
stan1295-34	stan1295	Beck-2014-contrasting_english_and_german	Grammar	Reference Grammar	computed
stan1295-35	stan1295	Beck-2014-contrasting_english_and_german	Grammar	Reference Grammar	computed
stan1295-36	stan1295	Becker-1830-a_grammar_of_the	Grammar	Reference Grammar	computed
stan1295-37	stan1295	Becker-1845-a_grammar_of_the	Grammar	Reference Grammar	computed
stan1295-38	stan1295	Becker-1967-generative_phonology_and_dialect	Phonology		computed
stan1295-39	stan1295	Becker-1968-materials_for_the_understanding	Text		computed
stan1295-40	stan1295	Becker-2003-ruhrdeutsch_die_sprache_des	Grammar	Reference Grammar	annotated
stan1295-41	stan1295	Beedham-1989-investigating_grammar_through_lexical	Grammar	Reference Grammar	computed
stan1295-42	stan1295	Beermann-1997-syntactic_discontinuity_and_predicate	Grammar	Reference Grammar	computed
stan1295-43	stan1295	Behaghel-1923-deutsche_syntax_eine_geschichtliche	Grammar	Reference Grammar	computed
stan1295-44	stan1295	Benner-2012-phonological_processing_of_german	Phonology		computed
stan1295-45	stan1295	Bentivogli-2018-neural_versus_phrasebased_mt	Grammar	Grammar Sketch	computed
stan1295-46	stan1295	Benware-1986-phonetics_and_phonology_of	Phonology		computed
stan1295-47	stan1295	Berg-2006-the_internal_structure_of	Grammar	Grammar Sketch	computed
stan1295-48	stan1295	Berg-2016-a_note_on_the	Genealogy	Affiliation	computed
stan1295-49	stan1295	Berlin-1972-skizze_der_deutschen_grammatik	Grammar	Reference Grammar	annotated
stan1295-50	stan1295	Berman-2003-clausal_syntax_of_german	Grammar	Reference Grammar	computed
stan1295-51	stan1295	Bernays-1833-a_compendious_german_grammar	Grammar	Reference Grammar	computed
stan1295-52	stan1295	Besch-2004-language_history_a_handbook	Grammar	Reference Grammar	computed
stan1295-53	stan1295	Betz-2008-grammar_and_interaction_pivots	Grammar	Reference Grammar	computed
stan1295-54	stan1295	Beyer-2017-variation_in_the_structure	Grammar	Grammar Sketch	computed
stan1295-55	stan1295	Bhatt-1990-die_syntaktische_struktur_der	Grammar	Grammar Sketch	computed
